seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	6295903	6295914	12	*	X00053	23463	6281253	6296044	14792	-	0	inside	129	ICMT
chr1	6296018	6296043	26	*	X00054	23463	6281253	6296044	14792	-	0	inside	0	ICMT
chr1	6321265	6321286	22	*	X00055	387509	6307406	6321035	13630	-	229	upstream	229	GPR153
chr1	6614429	6614612	184	*	X00056	79707	6581407	6614658	33252	-	0	inside	45	NOL9
chr1	6614429	6614612	184	*	X00056	80835	6615338	6639817	24480	+	725	upstream	725	TAS1R1
chr1	6662477	6662911	435	*	X00059	9903	6650779	6662929	12151	-	0	inside	17	KLHL21
chr1	6761672	6761718	47	*	X00061	55735	6694228	6761966	67739	-	0	inside	247	DNAJC11
chr1	6761730	6762159	430	*	X00062	55735	6694228	6761966	67739	-	0	overlapStart	0	DNAJC11
chr1	7844231	7844256	26	*	X00063	8863	7844380	7905237	60858	+	123	upstream	123	PER3
chr1	7844337	7844388	52	*	X00064	8863	7844380	7905237	60858	+	0	overlapStart	0	PER3
chr1	7844420	7844529	110	*	X00065	8863	7844380	7905237	60858	+	0	inside	39	PER3
chr1	8021376	8021386	11	*	X00066	11315	8021714	8045342	23629	+	327	upstream	327	PARK7
chr1	8021413	8021547	135	*	X00067	11315	8021714	8045342	23629	+	166	upstream	166	PARK7
chr1	8021703	8022092	390	*	X00068	11315	8021714	8045342	23629	+	0	overlapStart	0	PARK7
chr1	8086470	8086610	141	*	X00069	54206	8071779	8086393	14615	-	76	upstream	76	ERRFI1
chr1	8877604	8877730	127	*	X00074	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	8938312	8938499	188	*	X00075	100505975	8938894	8939943	1050	+	394	upstream	394	ENO1-AS1
chr1	8938567	8938648	82	*	X00076	100505975	8938894	8939943	1050	+	245	upstream	245	ENO1-AS1
chr1	8938735	8938766	32	*	X00077	100505975	8938894	8939943	1050	+	127	upstream	127	ENO1-AS1
chr1	8939148	8939226	79	*	X00078	100505975	8938894	8939943	1050	+	0	inside	253	ENO1-AS1
chr1	8939148	8939226	79	*	X00078	2023	8921059	8939151	18093	-	0	overlapStart	0	ENO1
chr1	8939255	8939270	16	*	X00079	2023	8921059	8939151	18093	-	103	upstream	103	ENO1
chr1	9294882	9295092	211	*	X00081	9563	9294863	9331394	36532	+	0	inside	18	H6PD
chr1	9649090	9649123	34	*	X00083	199953	9648932	9674935	26004	+	0	inside	157	TMEM201
chr1	9884604	9884701	98	*	X00088	22883	9789079	9884550	95472	-	53	upstream	53	CLSTN1
chr1	10003197	10003673	477	*	X00089	64802	10003486	10045556	42071	+	0	overlapStart	0	NMNAT1
chr1	10003197	10003673	477	*	X00089	84328	9989776	10003427	13652	-	0	overlapStart	0	LZIC
chr1	10458717	10458929	213	*	X00090	5226	10459085	10480201	21117	+	155	upstream	155	PGD
chr1	10459106	10459216	111	*	X00091	5226	10459085	10480201	21117	+	0	inside	20	PGD
chr1	10490364	10490386	23	*	X00092	100526739	10490159	10512060	21902	+	0	inside	204	CENPS-CORT
chr1	10490364	10490386	23	*	X00092	378708	10490159	10502872	12714	+	0	inside	204	CENPS
chr1	10490446	10490712	267	*	X00093	100526739	10490159	10512060	21902	+	0	inside	286	CENPS-CORT
chr1	10490446	10490712	267	*	X00093	378708	10490159	10502872	12714	+	0	inside	286	CENPS
chr1	10532482	10532499	18	*	X00094	1676	10520603	10532613	12011	-	0	inside	113	DFFA
chr1	10532513	10532523	11	*	X00095	1676	10520603	10532613	12011	-	0	inside	89	DFFA
chr1	10534885	10535117	233	*	X00096	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	10535134	10535153	20	*	X00097	5195	10535003	10690815	155813	+	0	inside	130	PEX14
chr1	10856556	10856757	202	*	X00099	54897	10696666	10856733	160068	-	0	overlapStart	0	CASZ1
chr1	10856864	10856976	113	*	X00100	54897	10696666	10856733	160068	-	130	upstream	130	CASZ1
chr1	11072455	11072512	58	*	X00101	23435	11072679	11085549	12871	+	166	upstream	166	TARDBP
chr1	11072615	11072842	228	*	X00102	23435	11072679	11085549	12871	+	0	overlapStart	0	TARDBP
chr1	11159788	11159969	182	*	X00103	5394	11126676	11159938	33263	-	0	overlapStart	0	EXOSC10
chr1	11322827	11323036	210	*	X00104	2475	11166588	11322608	156021	-	218	upstream	218	MTOR
chr1	11333253	11333517	265	*	X00105	29914	11333255	11348491	15237	+	0	overlapStart	0	UBIAD1
chr1	11538883	11538917	35	*	X00106	57540	11539295	11597640	58346	+	377	upstream	377	DISP3
chr1	11539077	11539309	233	*	X00107	57540	11539295	11597640	58346	+	0	overlapStart	0	DISP3
chr1	11994780	11994815	36	*	X00110	5351	11994724	12035599	40876	+	0	inside	55	PLOD1
chr1	12289934	12289986	53	*	X00111	55187	12290113	12572098	281986	+	126	upstream	126	VPS13D
chr1	12290140	12290192	53	*	X00112	55187	12290113	12572098	281986	+	0	inside	26	VPS13D
chr1	15573532	15573542	11	*	X00113	114827	15573768	15726778	153011	+	225	upstream	225	FHAD1
chr1	15573603	15573635	33	*	X00114	114827	15573768	15726778	153011	+	132	upstream	132	FHAD1
chr1	15736262	15736473	212	*	X00115	79180	15736391	15756839	20449	+	0	overlapStart	0	EFHD2
chr1	15853084	15853521	438	*	X00116	23341	15853352	15918874	65523	+	0	overlapStart	0	DNAJC16
chr1	15853084	15853521	438	*	X00116	842	15817324	15851285	33962	-	1798	upstream	1798	CASP9
chr1	16174024	16174128	105	*	X00119	23013	16174359	16266950	92592	+	230	upstream	230	SPEN
chr1	16302408	16302643	236	*	X00121	7709	16268364	16302627	34264	-	0	overlapStart	0	ZBTB17
chr1	16482469	16482508	40	*	X00122	1969	16450832	16482582	31751	-	0	inside	73	EPHA2
chr1	16678604	16679185	582	*	X00124	54455	16576559	16678948	102390	-	0	overlapStart	0	FBXO42
chr1	16693485	16693552	68	*	X00125	26099	16693525	16724643	31119	+	0	overlapStart	0	SZRD1
chr1	16693791	16693810	20	*	X00126	26099	16693525	16724643	31119	+	0	inside	265	SZRD1
chr1	16767052	16767112	61	*	X00127	55707	16767167	16786584	19418	+	54	upstream	54	NECAP2
chr1	16767165	16767300	136	*	X00128	55707	16767167	16786584	19418	+	0	overlapStart	0	NECAP2
chr1	16767333	16767374	42	*	X00129	55707	16767167	16786584	19418	+	0	inside	165	NECAP2
chr1	16939773	16940386	614	*	X00133	55672	16888922	16940100	51179	-	0	overlapStart	0	NBPF1
chr1	16970939	16971495	557	*	X00134	11209	16972069	16976915	4847	+	573	upstream	573	MST1P2
chr1	16970939	16971495	557	*	X00134	84809	16944751	16971178	26428	-	0	overlapStart	0	CROCCP2
chr1	17380540	17380571	32	*	X00147	6390	17345225	17380665	35441	-	0	inside	93	SDHB
chr1	17380721	17380738	18	*	X00148	6390	17345225	17380665	35441	-	55	upstream	55	SDHB
chr1	19577982	19578361	380	*	X00152	23065	19542158	19578053	35896	-	0	overlapStart	0	EMC1
chr1	19577982	19578361	380	*	X00152	51154	19578075	19586622	8548	+	0	overlapStart	0	MRTO4
chr1	19638501	19638521	21	*	X00153	54896	19638740	19658922	20183	+	218	upstream	218	SLC66A1
chr1	19638501	19638521	21	*	X00153	8574	19629202	19638640	9439	-	0	inside	118	AKR7A2
chr1	19638536	19638588	53	*	X00154	54896	19638740	19658922	20183	+	151	upstream	151	SLC66A1
chr1	19638536	19638588	53	*	X00154	8574	19629202	19638640	9439	-	0	inside	51	AKR7A2
chr1	21672461	21672548	88	*	X00160	1889	21543740	21672034	128295	-	426	upstream	426	ECE1
chr1	22109512	22109621	110	*	X00161	84196	22004792	22109688	104897	-	0	inside	66	USP48
chr1	22109659	22109666	8	*	X00162	84196	22004792	22109688	104897	-	0	inside	21	USP48
chr1	22109688	22109726	39	*	X00163	84196	22004792	22109688	104897	-	0	overlapStart	0	USP48
chr1	22379175	22379300	126	*	X00164	998	22379120	22419436	40317	+	0	inside	54	CDC42
chr1	22777967	22777982	16	*	X00165	9923	22778344	22857650	79307	+	361	upstream	361	ZBTB40
chr1	22778007	22778007	1	*	X00166	9923	22778344	22857650	79307	+	336	upstream	336	ZBTB40
chr1	22778194	22778564	371	*	X00167	9923	22778344	22857650	79307	+	0	overlapStart	0	ZBTB40
chr1	23345762	23346118	357	*	X00168	23028	23345941	23410184	64244	+	0	overlapStart	0	KDM1A
chr1	23695444	23695491	48	*	X00169	148898	23695464	23698330	2867	+	0	overlapStart	0	ZNF436-AS1
chr1	24018246	24018431	186	*	X00170	6135	24018269	24022915	4647	+	0	overlapStart	0	RPL11
chr1	24069888	24070103	216	*	X00171	6924	24069856	24088549	18694	+	0	inside	31	ELOA
chr1	24104891	24105126	236	*	X00172	100506963	24086872	24104787	17916	-	103	upstream	103	ELOA-AS1
chr1	24104891	24105126	236	*	X00172	57095	24104876	24114722	9847	+	0	inside	14	PITHD1
chr1	24127201	24127207	7	*	X00173	2582	24122089	24127294	5206	-	0	inside	86	GALE
chr1	24127422	24127499	78	*	X00174	2582	24122089	24127294	5206	-	127	upstream	127	GALE
chr1	24285557	24285599	43	*	X00176	55629	24286301	24289949	3649	+	701	upstream	701	PNRC2
chr1	24969273	24969352	80	*	X00178	10250	24969594	24999772	30179	+	241	upstream	241	SRRM1
chr1	24969377	24969491	115	*	X00179	10250	24969594	24999772	30179	+	102	upstream	102	SRRM1
chr1	24969708	24969738	31	*	X00180	10250	24969594	24999772	30179	+	0	inside	113	SRRM1
chr1	24969758	24969901	144	*	X00181	10250	24969594	24999772	30179	+	0	inside	163	SRRM1
chr1	25664791	25664792	2	*	X00186	23585	25664789	25688852	24064	+	0	inside	1	TMEM50A
chr1	25664791	25664792	2	*	X00186	57035	25568740	25664656	95917	-	134	upstream	134	RSRP1
chr1	25664853	25664965	113	*	X00187	23585	25664789	25688852	24064	+	0	inside	63	TMEM50A
chr1	25664853	25664965	113	*	X00187	57035	25568740	25664656	95917	-	196	upstream	196	RSRP1
chr1	25756562	25756629	68	*	X00188	55219	25757388	25826698	69311	+	758	upstream	758	MACO1
chr1	25756562	25756629	68	*	X00188	6006	25688740	25756683	67944	-	0	inside	53	RHCE
chr1	25756643	25756790	148	*	X00189	55219	25757388	25826698	69311	+	597	upstream	597	MACO1
chr1	25756643	25756790	148	*	X00189	6006	25688740	25756683	67944	-	0	overlapStart	0	RHCE
chr1	25756874	25756921	48	*	X00190	55219	25757388	25826698	69311	+	466	upstream	466	MACO1
chr1	25756874	25756921	48	*	X00190	6006	25688740	25756683	67944	-	190	upstream	190	RHCE
chr1	25943397	25943430	34	*	X00191	57134	25943959	26111258	167300	+	528	upstream	528	MAN1C1
chr1	26146285	26146524	240	*	X00192	56181	26146397	26159433	13037	+	0	overlapStart	0	MTFR1L
chr1	26185752	26185954	203	*	X00193	79000	26160497	26185848	25352	-	0	overlapStart	0	AUNIP
chr1	26233024	26233030	7	*	X00196	100500808	26232853	26232945	93	-	78	upstream	78	MIR3917
chr1	26324504	26324636	133	*	X00197	5051	26286258	26324648	38391	-	0	inside	11	PAFAH2
chr1	26324826	26325018	193	*	X00198	5051	26286258	26324648	38391	-	177	upstream	177	PAFAH2
chr1	26496341	26496466	126	*	X00199	51042	26496388	26497364	977	+	0	overlapStart	0	ZNF593
chr1	26758689	26758883	195	*	X00200	79947	26758773	26797795	39023	+	0	overlapStart	0	DHDDS
chr1	27021918	27022061	144	*	X00206	8289	27022522	27108601	86080	+	460	upstream	460	ARID1A
chr1	27022171	27022327	157	*	X00207	8289	27022522	27108601	86080	+	194	upstream	194	ARID1A
chr1	27114244	27114462	219	*	X00208	55650	27114454	27124894	10441	+	0	overlapStart	0	PIGV
chr1	27216532	27216575	44	*	X00209	54707	27205873	27216869	10997	-	0	inside	293	GPN2
chr1	27216721	27216735	15	*	X00210	54707	27205873	27216869	10997	-	0	inside	133	GPN2
chr1	27248324	27248349	26	*	X00211	10726	27248213	27273362	25150	+	0	inside	110	NUDC
chr1	27320218	27320338	121	*	X00212	388610	27320195	27327377	7183	+	0	inside	22	TRNP1
chr1	27481453	27481530	78	*	X00213	6548	27425300	27481621	56322	-	0	inside	90	SLC9A1
chr1	27481573	27481768	196	*	X00214	6548	27425300	27481621	56322	-	0	overlapStart	0	SLC9A1
chr1	27561106	27561316	211	*	X00215	23038	27561007	27635124	74118	+	0	inside	98	WDTC1
chr1	27648462	27648638	177	*	X00216	644961	27650365	27653016	2652	+	1726	upstream	1726	ACTG1P20
chr1	27648462	27648638	177	*	X00216	84065	27648636	27662891	14256	+	0	overlapStart	0	TMEM222
chr1	27648688	27648980	293	*	X00217	644961	27650365	27653016	2652	+	1384	upstream	1384	ACTG1P20
chr1	27648688	27648980	293	*	X00217	84065	27648636	27662891	14256	+	0	inside	51	TMEM222
chr1	27930236	27930334	99	*	X00219	27245	27860756	27930361	69606	-	0	inside	26	AHDC1
chr1	27930353	27930431	79	*	X00220	27245	27860756	27930361	69606	-	0	overlapStart	0	AHDC1
chr1	27930478	27930690	213	*	X00221	27245	27860756	27930361	69606	-	116	upstream	116	AHDC1
chr1	28099708	28099901	194	*	X00222	23673	28099694	28150963	51270	+	0	inside	13	STX12
chr1	28157105	28157279	175	*	X00223	5511	28157252	28178183	20932	+	0	overlapStart	0	PPP1R8
chr1	28157321	28157448	128	*	X00224	5511	28157252	28178183	20932	+	0	inside	68	PPP1R8
chr1	28241142	28241205	64	*	X00225	6118	28218049	28241236	23188	-	0	inside	30	RPA2
chr1	28241251	28241359	109	*	X00226	6118	28218049	28241236	23188	-	14	upstream	14	RPA2
chr1	28559524	28559553	30	*	X00227	22826	28526790	28559542	32753	-	0	overlapStart	0	DNAJC8
chr1	28559580	28559605	26	*	X00228	22826	28526790	28559542	32753	-	37	upstream	37	DNAJC8
chr1	28562668	28562700	33	*	X00229	93974	28562602	28564616	2015	+	0	inside	65	ATP5IF1
chr1	28562727	28562759	33	*	X00230	93974	28562602	28564616	2015	+	0	inside	124	ATP5IF1
chr1	28585978	28586578	601	*	X00232	83667	28585963	28609002	23040	+	0	inside	14	SESN2
chr1	28655240	28655255	16	*	X00233	54797	28655513	28662478	6966	+	257	upstream	257	MED18
chr1	28655348	28655723	376	*	X00234	54797	28655513	28662478	6966	+	0	overlapStart	0	MED18
chr1	28696239	28696359	121	*	X00235	65979	28696093	28826881	130789	+	0	inside	145	PHACTR4
chr1	28879565	28879687	123	*	X00240	54952	28879529	28905057	25529	+	0	inside	35	TRNAU1AP
chr1	28879754	28879767	14	*	X00241	54952	28879529	28905057	25529	+	0	inside	224	TRNAU1AP
chr1	28908092	28908298	207	*	X00242	677825	28906893	28907024	132	-	1067	upstream	1067	SNORA44
chr1	28908092	28908298	207	*	X00242	677838	28906276	28906405	130	-	1686	upstream	1686	SNORA61
chr1	28908092	28908298	207	*	X00242	692073	28907432	28907565	134	-	526	upstream	526	SNORA16A
chr1	28908092	28908298	207	*	X00242	85028	28905050	28908383	3334	-	0	inside	84	SNHG12
chr1	28908468	28908664	197	*	X00243	677825	28906893	28907024	132	-	1443	upstream	1443	SNORA44
chr1	28908468	28908664	197	*	X00243	692073	28907432	28907565	134	-	902	upstream	902	SNORA16A
chr1	28908468	28908664	197	*	X00243	85028	28905050	28908383	3334	-	84	upstream	84	SNHG12
chr1	28969434	28969560	127	*	X00244	6883	28929609	28969604	39996	-	0	inside	43	TAF12
chr1	28969633	28969767	135	*	X00245	6883	28929609	28969604	39996	-	28	upstream	28	TAF12
chr1	28974991	28975129	139	*	X00246	26824	28975112	28975246	135	+	0	overlapStart	0	RNU11
chr1	28995197	28995255	59	*	X00247	10691	28995240	29042115	46876	+	0	overlapStart	0	GMEB1
chr1	29063165	29063271	107	*	X00248	51441	29063133	29096287	33155	+	0	inside	31	YTHDF2
chr1	29063391	29063654	264	*	X00249	51441	29063133	29096287	33155	+	0	inside	257	YTHDF2
chr1	31191616	31191800	185	*	X00260	100129196	31191619	31199593	7975	+	0	overlapStart	0	MATN1-AS1
chr1	31538446	31538650	205	*	X00262	9698	31404353	31538763	134411	-	0	inside	112	PUM1
chr1	32479424	32479571	148	*	X00265	10657	32479295	32526460	47166	+	0	inside	128	KHDRBS1
chr1	32538354	32538674	321	*	X00267	55116	32538503	32568467	29965	+	0	overlapStart	0	TMEM39B
chr1	32573621	32573714	94	*	X00268	23633	32573644	32642168	68525	+	0	overlapStart	0	KPNA6
chr1	32573756	32573774	19	*	X00269	23633	32573644	32642168	68525	+	0	inside	111	KPNA6
chr1	32645250	32645518	269	*	X00270	200081	32645345	32663886	18542	+	0	overlapStart	0	TXLNA
chr1	32645550	32645567	18	*	X00271	200081	32645345	32663886	18542	+	0	inside	204	TXLNA
chr1	32645618	32645657	40	*	X00272	200081	32645345	32663886	18542	+	0	inside	272	TXLNA
chr1	32757398	32757667	270	*	X00273	3065	32757708	32799224	41517	+	40	upstream	40	HDAC1
chr1	32757699	32758067	369	*	X00274	3065	32757708	32799224	41517	+	0	overlapStart	0	HDAC1
chr1	32801949	32802100	152	*	X00275	65108	32799430	32801840	2411	-	108	upstream	108	MARCKSL1
chr1	32860204	32860280	77	*	X00277	55108	32830705	32860062	29358	-	141	upstream	141	BSDC1
chr1	32860326	32860427	102	*	X00278	55108	32830705	32860062	29358	-	263	upstream	263	BSDC1
chr1	32930403	32930474	72	*	X00279	653121	32930658	33071542	140885	+	183	upstream	183	ZBTB8A
chr1	32930403	32930474	72	*	X00279	728116	32930658	32953459	22802	+	183	upstream	183	ZBTB8B
chr1	33116623	33116638	16	*	X00280	339487	33065773	33116185	50413	-	437	upstream	437	ZBTB8OS
chr1	33116623	33116638	16	*	X00280	5928	33116749	33151812	35064	+	110	upstream	110	RBBP4
chr1	33116814	33116956	143	*	X00281	339487	33065773	33116185	50413	-	628	upstream	628	ZBTB8OS
chr1	33116814	33116956	143	*	X00281	5928	33116749	33151812	35064	+	0	inside	64	RBBP4
chr1	33282835	33282942	108	*	X00284	64766	33283043	33324480	41438	+	100	upstream	100	S100PBP
chr1	33283208	33283213	6	*	X00285	64766	33283043	33324480	41438	+	0	inside	164	S100PBP
chr1	33430285	33430511	227	*	X00288	127544	33402050	33430286	28237	-	0	overlapStart	0	RNF19B
chr1	33430562	33430638	77	*	X00289	127544	33402050	33430286	28237	-	275	upstream	275	RNF19B
chr1	33502389	33502470	82	*	X00290	204	33473541	33502512	28972	-	0	inside	41	AK2
chr1	33502482	33502534	53	*	X00291	204	33473541	33502512	28972	-	0	overlapStart	0	AK2
chr1	33647709	33647724	16	*	X00294	55223	33611003	33647671	36669	-	37	upstream	37	TRIM62
chr1	33722472	33722711	240	*	X00295	149076	33722174	33766320	44147	+	0	inside	297	ZNF362
chr1	33896370	33896576	207	*	X00297	1912	33789224	33896615	107392	-	0	inside	38	PHC2
chr1	35325236	35325257	22	*	X00298	113444	35315963	35325417	9455	-	0	inside	159	SMIM12
chr1	35325290	35325493	204	*	X00299	113444	35315963	35325417	9455	-	0	overlapStart	0	SMIM12
chr1	35658276	35658475	200	*	X00302	6421	35649201	35658743	9543	-	0	inside	267	SFPQ
chr1	35658526	35658536	11	*	X00303	6421	35649201	35658743	9543	-	0	inside	206	SFPQ
chr1	35658552	35658739	188	*	X00304	6421	35649201	35658743	9543	-	0	inside	3	SFPQ
chr1	35734266	35734330	65	*	X00305	9202	35734568	35887545	152978	+	237	upstream	237	ZMYM4
chr1	35734383	35734462	80	*	X00306	9202	35734568	35887545	152978	+	105	upstream	105	ZMYM4
chr1	35734501	35734533	33	*	X00307	9202	35734568	35887545	152978	+	34	upstream	34	ZMYM4
chr1	36023345	36023353	9	*	X00308	23154	36023393	36032380	8988	+	39	upstream	39	NCDN
chr1	36023345	36023353	9	*	X00308	79932	35899091	36023551	124461	-	0	inside	197	KIAA0319L
chr1	36023409	36023429	21	*	X00309	23154	36023393	36032380	8988	+	0	inside	15	NCDN
chr1	36023409	36023429	21	*	X00309	79932	35899091	36023551	124461	-	0	inside	121	KIAA0319L
chr1	36107053	36107237	185	*	X00311	5690	36035413	36107445	72033	-	0	inside	207	PSMB2
chr1	36396475	36397001	527	*	X00316	192669	36396319	36522063	125745	+	0	inside	155	AGO3
chr1	36554305	36554439	135	*	X00317	54936	36554453	36559533	5081	+	13	upstream	13	ADPRS
chr1	36554481	36554707	227	*	X00318	54936	36554453	36559533	5081	+	0	inside	27	ADPRS
chr1	36554720	36554749	30	*	X00319	54936	36554453	36559533	5081	+	0	inside	266	ADPRS
chr1	36863403	36863491	89	*	X00322	84967	36859031	36863493	4463	-	0	inside	1	LSM10
chr1	36863506	36863544	39	*	X00323	84967	36859031	36863493	4463	-	12	upstream	12	LSM10
chr1	36929803	36930172	370	*	X00326	64960	36921362	36930040	8679	-	0	overlapStart	0	MRPS15
chr1	37980224	37980570	347	*	X00327	64769	37955561	37980420	24860	-	0	overlapStart	0	MEAF6
chr1	38020090	38020140	51	*	X00328	79753	38000050	38019945	19896	-	144	upstream	144	SNIP1
chr1	38259872	38259933	62	*	X00331	149175	38259774	38267278	7505	+	0	inside	97	MANEAL
chr1	38455526	38455767	242	*	X00332	10946	38422652	38455761	33110	-	0	overlapStart	0	SF3A3
chr1	38455857	38455986	130	*	X00333	10946	38422652	38455761	33110	-	95	upstream	95	SF3A3
chr1	38477938	38477959	22	*	X00334	51118	38478384	38490497	12114	+	424	upstream	424	UTP11
chr1	38478001	38478014	14	*	X00335	51118	38478384	38490497	12114	+	369	upstream	369	UTP11
chr1	38478042	38478298	257	*	X00336	51118	38478384	38490497	12114	+	85	upstream	85	UTP11
chr1	38513123	38513185	63	*	X00337	5453	38509523	38512450	2928	-	672	upstream	672	POU3F1
chr1	38513209	38513260	52	*	X00338	5453	38509523	38512450	2928	-	758	upstream	758	POU3F1
chr1	39457007	39457059	53	*	X00341	79647	39456916	39471737	14822	+	0	inside	90	AKIRIN1
chr1	40042303	40042315	13	*	X00345	8761	40026485	40042521	16037	-	0	inside	205	PABPC4
chr1	40042370	40042399	30	*	X00346	8761	40026485	40042521	16037	-	0	inside	121	PABPC4
chr1	40042602	40042721	120	*	X00347	8761	40026485	40042521	16037	-	80	upstream	80	PABPC4
chr1	40204296	40204380	85	*	X00348	10450	40204517	40229586	25070	+	136	upstream	136	PPIE
chr1	40204540	40204554	15	*	X00349	10450	40204517	40229586	25070	+	0	inside	22	PPIE
chr1	40348974	40349274	301	*	X00350	54802	40306706	40349177	42472	-	0	overlapStart	0	TRIT1
chr1	40367433	40367606	174	*	X00353	4610	40361096	40367687	6592	-	0	inside	80	MYCL
chr1	40420892	40420958	67	*	X00354	84879	40420784	40435628	14845	+	0	inside	107	MFSD2A
chr1	40562826	40563018	193	*	X00355	5538	40538382	40563142	24761	-	0	inside	123	PPT1
chr1	40626915	40627210	296	*	X00356	6018	40627041	40706593	79553	+	0	overlapStart	0	RLF
chr1	40627248	40627281	34	*	X00357	6018	40627041	40706593	79553	+	0	inside	206	RLF
